[09-08 22:22] env=Combat, num_actor=2
Ep, Total_reward(last50), Ep_Length(last50), Actor_Loss(last50), Critic_Loss(last50), Avg_Entropy(last50)
50: -2.720, 68.360, 0.297, 0.081, 1.943
100: -3.100, 71.060, -0.106, 0.055, 1.943
150: -2.960, 73.420, -0.257, 0.077, 1.943
200: -2.980, 75.360, -0.233, 0.078, 1.942
250: -2.880, 70.920, -0.075, 0.067, 1.942
300: -3.160, 71.240, -0.095, 0.073, 1.942
350: -2.660, 65.820, -0.206, 0.091, 1.941
400: -2.400, 74.780, -0.306, 0.075, 1.941
450: -2.780, 69.800, -0.200, 0.067, 1.940
Model saved at episode 500
500: -2.500, 72.500, -0.186, 0.061, 1.940
550: -2.700, 75.500, -0.136, 0.055, 1.938
600: -2.040, 78.400, -0.161, 0.044, 1.936
650: -2.760, 71.140, -0.164, 0.066, 1.934
700: -3.000, 61.100, -0.108, 0.075, 1.921
750: -2.100, 75.220, -0.194, 0.044, 1.905
800: -2.080, 68.440, -0.185, 0.054, 1.874
850: -1.780, 79.580, -0.141, 0.036, 1.851
900: -1.920, 68.860, -0.069, 0.056, 1.784
950: -1.920, 73.140, -0.013, 0.033, 1.763
Model saved at episode 1000
1000: -2.560, 64.480, -0.113, 0.048, 1.697
1050: -1.300, 82.580, -0.210, 0.028, 1.620
1100: -1.240, 81.480, -0.146, 0.030, 1.620
1150: -1.440, 72.640, -0.048, 0.028, 1.591
1200: -1.580, 74.720, 0.011, 0.026, 1.542
1250: -1.660, 68.980, -0.126, 0.042, 1.516
1300: -1.200, 77.140, -0.140, 0.035, 1.482
1350: -1.540, 66.180, -0.066, 0.035, 1.368
1400: -1.340, 69.840, -0.132, 0.031, 1.255
1450: -1.580, 58.040, -0.094, 0.047, 1.203
Model saved at episode 1500
1500: -1.360, 66.280, -0.070, 0.033, 1.115
1550: -1.680, 64.380, 0.033, 0.034, 1.100
1600: -1.520, 63.420, -0.133, 0.040, 1.075
1650: -1.300, 64.540, -0.047, 0.029, 1.107
1700: -1.160, 70.020, -0.099, 0.029, 1.006
1750: -1.360, 67.900, -0.111, 0.032, 1.012
1800: -1.040, 71.040, -0.156, 0.029, 1.030
1850: -1.260, 69.720, -0.066, 0.029, 0.985
1900: -1.020, 72.700, -0.117, 0.029, 0.996
1950: -1.460, 63.640, -0.132, 0.035, 1.060
Model saved at episode 2000
2000: -0.980, 71.240, -0.100, 0.023, 1.010
2050: -1.260, 66.860, -0.058, 0.025, 0.967
2100: -1.260, 66.920, -0.030, 0.023, 0.970
2150: -1.000, 73.840, -0.128, 0.022, 0.981
2200: -0.820, 70.040, -0.104, 0.025, 0.976
2250: -1.020, 69.800, -0.063, 0.024, 0.969
2300: -1.120, 73.200, -0.104, 0.020, 0.971
2350: -0.980, 71.600, -0.048, 0.022, 0.950
2400: -1.160, 66.020, -0.092, 0.031, 0.999
2450: -1.320, 62.840, -0.036, 0.031, 0.981
Model saved at episode 2500
2500: -0.900, 76.060, -0.106, 0.021, 0.922
2550: -1.560, 61.160, 0.009, 0.032, 0.985
2600: -1.300, 66.100, -0.081, 0.027, 0.942
2650: -1.100, 71.800, -0.122, 0.025, 0.917
2700: -0.880, 80.440, -0.138, 0.017, 0.902
2750: -1.060, 69.940, -0.039, 0.021, 0.930
2800: -1.080, 69.160, -0.092, 0.022, 0.956
2850: -1.560, 60.940, -0.009, 0.027, 0.980
2900: -1.100, 71.160, -0.092, 0.027, 1.015
2950: -1.160, 73.740, -0.063, 0.016, 1.045
Model saved at episode 3000
3000: -1.480, 59.500, 0.013, 0.026, 1.059
3050: -1.080, 64.400, -0.127, 0.028, 0.996
3100: -1.100, 62.500, -0.106, 0.025, 0.938
3150: -1.420, 60.180, -0.125, 0.030, 0.982
3200: -1.120, 72.900, -0.037, 0.020, 0.932
3250: -0.980, 72.900, -0.068, 0.027, 0.902
3300: -1.100, 66.840, -0.021, 0.030, 0.876
3350: -1.480, 63.060, 0.038, 0.026, 0.933
3400: -1.020, 65.780, -0.193, 0.037, 0.910
3450: -1.480, 58.680, 0.015, 0.033, 0.905
Model saved at episode 3500
3500: -1.340, 71.960, -0.129, 0.023, 0.851
3550: -1.080, 63.580, -0.116, 0.031, 0.872
3600: -1.060, 60.100, 0.005, 0.031, 0.871
3650: -1.360, 62.440, -0.010, 0.024, 0.857
3700: -1.220, 64.540, -0.088, 0.026, 0.877
3750: -0.680, 82.540, -0.132, 0.017, 0.765
3800: -1.100, 70.880, 0.040, 0.023, 0.773
3850: -1.140, 71.160, -0.031, 0.018, 0.779
3900: -0.820, 71.420, -0.156, 0.022, 0.727
3950: -1.100, 67.380, -0.008, 0.023, 0.751
Model saved at episode 4000
4000: -1.400, 59.780, -0.052, 0.031, 0.828
4050: -1.340, 60.400, -0.070, 0.033, 0.867
4100: -1.040, 61.700, -0.075, 0.034, 0.847
4150: -0.880, 73.660, -0.079, 0.020, 0.857
4200: -0.980, 73.040, -0.076, 0.019, 0.866
4250: -1.020, 67.840, -0.052, 0.025, 0.877
4300: -1.360, 62.440, -0.046, 0.029, 0.872
4350: -1.000, 79.960, -0.130, 0.015, 0.866
4400: -1.160, 75.400, -0.055, 0.014, 0.840
4450: -1.460, 58.900, -0.131, 0.027, 0.862
Model saved at episode 4500
4500: -1.040, 66.060, -0.008, 0.036, 0.843
4550: -0.960, 64.200, -0.026, 0.027, 0.818
4600: -1.140, 69.140, -0.074, 0.028, 0.804
4650: -0.840, 77.180, -0.042, 0.020, 0.861
4700: -1.040, 69.120, -0.096, 0.027, 0.862
4750: -0.740, 76.820, -0.130, 0.020, 0.857
4800: -1.060, 71.460, -0.130, 0.022, 0.866
4850: -1.120, 66.120, -0.089, 0.026, 0.858
4900: -1.020, 66.240, -0.085, 0.021, 0.841
4950: -1.320, 65.000, -0.053, 0.029, 0.879
Model saved at episode 5000
