[2025-09-16 11:12] Env=simple_spread_v3, num_actor=2, is_continuous=False, (last50)
Ep, Ep_return, Ep_Length, Actor_Los, Critic_Loss, Avg_Entropy
50: -42.639, 25.000, 8.289, 0.852, 1.599
100: -42.356, 25.000, 7.370, 0.832, 1.599
150: -42.499, 25.000, 4.991, 1.427, 1.599
200: -43.927, 25.000, 1.950, 3.550, 1.599
250: -36.453, 25.000, -1.775, 5.668, 1.600
300: -42.528, 25.000, -1.486, 6.802, 1.594
350: -38.311, 25.000, -3.598, 8.536, 1.594
400: -39.591, 25.000, -3.267, 8.089, 1.591
450: -37.870, 25.000, -3.123, 7.566, 1.591
500: -41.669, 25.000, -2.801, 8.383, 1.586
Model saved at episode 500
550: -41.005, 25.000, -2.519, 7.723, 1.583
600: -38.230, 25.000, -3.778, 8.070, 1.578
650: -37.875, 25.000, -3.770, 8.554, 1.579
700: -41.352, 25.000, -3.091, 8.365, 1.578
750: -37.680, 25.000, -3.891, 8.363, 1.579
800: -40.224, 25.000, -3.410, 8.464, 1.579
850: -36.761, 25.000, -3.313, 7.298, 1.572
900: -40.828, 25.000, -3.252, 8.235, 1.578
950: -36.193, 25.000, -3.756, 7.737, 1.571
1000: -39.702, 25.000, -3.355, 7.902, 1.574
Model saved at episode 1000
1050: -35.888, 25.000, -3.300, 6.993, 1.577
1100: -38.393, 25.000, -3.239, 7.889, 1.571
1150: -37.379, 25.000, -2.753, 6.197, 1.572
1200: -38.871, 25.000, -3.820, 8.754, 1.569
1250: -39.116, 25.000, -3.417, 7.825, 1.566
1300: -37.288, 25.000, -3.578, 7.625, 1.567
1350: -35.138, 25.000, -3.600, 7.035, 1.563
1400: -37.311, 25.000, -3.041, 6.144, 1.559
1450: -37.479, 25.000, -2.315, 5.629, 1.554
1500: -39.463, 25.000, -2.610, 6.606, 1.551
Model saved at episode 1500
1550: -36.961, 25.000, -3.195, 6.335, 1.552
1600: -37.826, 25.000, -2.985, 6.929, 1.542
1650: -38.113, 25.000, -2.965, 6.326, 1.544
