episode, timestep, update_iters, epi_return, avg_turn
1, 600, 1, -2657.977998182147, -2657.977998182147
2, 1200, 2, -3130.449565327587, -2894.2137817548673
3, 1800, 3, -3237.0859568508313, -3008.5045067868555
4, 2400, 4, -4549.971781540404, -3393.8713254752424
5, 3000, 5, -3560.3659251257527, -3427.1702454053448
6, 3600, 6, -4861.264241006711, -3666.185911338906
7, 4200, 7, -3289.2532773706166, -3612.3383922005787
8, 4800, 8, -3654.4994689453506, -3617.608526793675
9, 5400, 9, -3272.47068014225, -3579.259877165739
10, 6000, 10, -3075.349096589933, -3528.8687991081583
11, 6600, 11, -3052.4962178771866, -3485.562200814434
12, 7200, 12, -2936.211036648616, -3439.782937133949
13, 7800, 13, -3889.815701409773, -3474.4008420782434
14, 8400, 14, -3771.8273632054356, -3495.645593587328
15, 9000, 15, -3991.956004151779, -3528.732954291625
16, 9600, 16, -3565.733690130709, -3531.045500281568
17, 10200, 17, -3311.5159954495452, -3518.131999997331
18, 10800, 18, -3108.3574044846328, -3495.3667446910704
19, 11400, 19, -3525.7081286446405, -3496.9636596359946
20, 12000, 20, -3114.4485020322013, -3477.837901755805
21, 12600, 21, -3225.8064167040916, -3465.836402467628
22, 13200, 22, -2669.129856856252, -3429.6224685762018
23, 13800, 23, -3579.463152098901, -3436.137280903276
24, 14400, 24, -3405.0018878976052, -3434.839972861373
25, 15000, 25, -3206.4169419741374, -3425.7030516258837
26, 15600, 26, -3459.7149542560646, -3427.0112017270444
27, 16200, 27, -3031.963004318636, -3412.3797870082144
28, 16800, 28, -3361.3843984428704, -3410.5585231308805
29, 17400, 29, -2984.519419521674, -3395.8675195581495
30, 18000, 30, -3791.244542845221, -3409.0467536677183
31, 18600, 31, -2759.595848327223, -3388.0967244631865
32, 19200, 32, -2817.7871362893056, -3370.274549832752
33, 19800, 33, -4111.281252444132, -3392.7292983967336
34, 20400, 34, -3726.4124632922067, -3402.5435091289532
35, 21000, 35, -3012.0769503833676, -3391.3873217362225
36, 21600, 36, -3499.8850532443103, -3394.4011476114474
37, 22200, 37, -3240.104399198421, -3390.230965221906
38, 22800, 38, -3007.9375600889193, -3380.1706124552484
39, 23400, 39, -2976.197812750494, -3369.812335539742
40, 24000, 40, -3320.967394280066, -3368.5912120082503
41, 24600, 41, -2899.242829675536, -3357.1436904879397
42, 25200, 42, -3032.3316910436406, -3349.410071453552
43, 25800, 43, -4444.884606183055, -3374.8862234240055
44, 26400, 44, -3229.196633072691, -3371.5750963705664
45, 27000, 45, -2871.705068486903, -3360.4668735287073
46, 27600, 46, -2903.046478715106, -3350.522951902325
47, 28200, 47, -2978.468883410136, -3342.6069078918526
48, 28800, 48, -3024.805811319698, -3335.986051713266
49, 29400, 49, -2795.717392448603, -3324.960160707865
50, 30000, 50, -4748.5714033176855, -3353.432385560061
51, 30600, 51, -3316.2205843937772, -3352.7027423999375
52, 31200, 52, -4648.146163115613, -3377.6151158752396
53, 31800, 53, -2949.8132955423316, -3369.5433834161277
54, 32400, 54, -4746.850766593034, -3395.0490756971817
55, 33000, 55, -3520.218855630201, -3397.324889877782
56, 33600, 56, -4845.545671396405, -3423.185975262043
57, 34200, 57, -3015.054715150593, -3416.025777716228
58, 34800, 58, -4089.724380990352, -3427.6412708761263
59, 35400, 59, -4119.337793380801, -3439.364940749087
60, 36000, 60, -4284.930724571675, -3453.457703812797
61, 36600, 61, -4885.054687207816, -3476.9265068192726
62, 37200, 62, -4730.537155251704, -3497.146033406893
63, 37800, 63, -4362.407671297802, -3510.880345119447
64, 38400, 64, -2883.145010000074, -3501.0719805082063
65, 39000, 65, -2541.682104848153, -3486.3121362672823
66, 39600, 66, -3368.5239556988918, -3484.5274668647307
67, 40200, 67, -4552.974026845734, -3500.474430446537
68, 40800, 68, -3400.9546702885173, -3499.01090456186
69, 41400, 69, -2938.306324356128, -3490.884751225545
70, 42000, 70, -4374.591982515039, -3503.509140243966
71, 42600, 71, -4345.337687956324, -3515.365880352591
72, 43200, 72, -3330.3150933781867, -3512.7957305335026
73, 43800, 73, -4747.778656303851, -3529.713304859124
74, 44400, 74, -3487.3060628766357, -3529.1402340215227
75, 45000, 75, -2871.8910232561598, -3520.376911211318
76, 45600, 76, -3005.9715114209457, -3513.6084191088135
77, 46200, 77, -4737.4583430125085, -3529.5025739647053
78, 46800, 78, -2861.9302915182307, -3520.943954958981
79, 47400, 79, -4187.21299538128, -3529.3777402807823
80, 48000, 80, -2724.988730483269, -3519.322877658313
81, 48600, 81, -4913.769865935036, -3536.5382725753093
82, 49200, 82, -4785.4043633285455, -3551.7683468527875
83, 49800, 83, -4771.554159957237, -3566.4645614685037
84, 50400, 84, -4345.338083801271, -3575.7368653057983
85, 51000, 85, -3503.4261696912413, -3574.8861512397452
86, 51600, 86, -3908.324513350765, -3578.76334149685
87, 52200, 87, -3211.491322973964, -3574.5418240425643
88, 52800, 88, -4053.894577453621, -3579.9890144222354
89, 53400, 89, -3324.1821611012674, -3577.114780115258
90, 54000, 90, -3264.4031855785406, -3573.640206842628
91, 54600, 91, -3466.869228857874, -3572.4668993922455
92, 55200, 92, -3481.985871070766, -3571.4834099539685
93, 55800, 93, -3989.842612799587, -3575.981896006072
94, 56400, 94, -3151.4141613507927, -3571.465217977825
95, 57000, 95, -3314.7228712333886, -3568.762666959462
96, 57600, 96, -3229.306683836393, -3565.226667135264
97, 58200, 97, -3687.507383291241, -3566.4872930750166
98, 58800, 98, -2874.858587031686, -3559.4298572990638
99, 59400, 99, -2984.3790560271923, -3553.621263346823
100, 60000, 100, -4386.428067138687, -3561.949331384742
101, 60600, 101, -2829.0673219408973, -3563.6602246223297
102, 61200, 102, -2818.043510240309, -3560.536164071457
103, 61800, 103, -3046.6881278749715, -3558.6321857816984
104, 62400, 104, -3365.550208388522, -3546.7879700501794
105, 63000, 105, -4284.932710702849, -3554.0336379059504
106, 63600, 106, -2632.0751614468445, -3531.741747110351
107, 64200, 107, -2789.721643041209, -3526.7464307670575
108, 64800, 108, -2735.7145900077544, -3517.558581977681
109, 65400, 109, -3110.6661517009766, -3515.9405366932683
110, 66000, 110, -4535.7235950962395, -3530.544281678331
111, 66600, 111, -3074.1390849353975, -3530.760710348914
112, 67200, 112, -2940.5364071493764, -3530.8039640539214
113, 67800, 113, -4560.300947566887, -3537.508816515493
114, 68400, 114, -2765.2559581429327, -3527.443102464868
115, 69000, 115, -4698.154474861731, -3534.505087171967
116, 69600, 116, -3261.9103112227585, -3531.4668533828876
117, 70200, 117, -3106.0348785662777, -3529.412042214055
118, 70800, 118, -3051.256016932441, -3528.8410283385333
119, 71400, 119, -2704.088148776135, -3520.6248285398487
120, 72000, 120, -3132.4087077965855, -3520.8044305974927
121, 72600, 121, -4182.250932350563, -3530.368875753957
122, 73200, 122, -2831.121772512631, -3531.9887949105205
123, 73800, 123, -2595.0255360088618, -3522.144418749621
124, 74400, 124, -2490.663777286547, -3513.00103764351
125, 75000, 125, -2341.5886195601897, -3504.3527544193703
126, 75600, 126, -2652.472939937841, -3496.280334276188
127, 76200, 127, -2406.8858156795227, -3490.0295623897964
128, 76800, 128, -2009.7431919372386, -3476.5131503247394
129, 77400, 129, -2401.600297368198, -3470.6839591032053
130, 78000, 130, -2337.1590455687633, -3456.1431041304404
131, 78600, 131, -2158.747339206425, -3450.1346190392323
132, 79200, 132, -2023.0345399194514, -3442.187093075534
133, 79800, 133, -2224.5736900903944, -3423.320017451997
134, 80400, 134, -2646.3000549904777, -3412.518893368979
135, 81000, 135, -1879.076085884523, -3401.188884723991
136, 81600, 136, -1665.2830793216754, -3382.8428649847647
137, 82200, 137, -2605.829290867872, -3376.50011390146
138, 82800, 138, -2283.273729710028, -3369.253475597671
139, 83400, 139, -4078.494625181792, -3380.276443721983
140, 84000, 140, -2148.486595904238, -3368.551635738225
141, 84600, 141, -2325.0680576222703, -3362.809888017692
142, 85200, 142, -2155.337704175608, -3354.039948149012
143, 85800, 143, -2638.7203075712946, -3335.9783051628947
144, 86400, 144, -2030.9337143800492, -3323.995675975968
145, 87000, 145, -2036.187987291052, -3315.6405051640095
146, 87600, 146, -2492.2160667856533, -3311.5322010447153
147, 88200, 147, -2159.83836326637, -3303.3458958432784
148, 88800, 148, -2286.2371126459343, -3295.9602088565402
149, 89400, 149, -1518.1933373538093, -3283.184968305592
150, 90000, 150, -2026.12779673442, -3255.9605322397592
151, 90600, 151, -1635.8355972979953, -3239.1566823688017
152, 91200, 152, -1121.6987954764118, -3203.8922086924085
153, 91800, 153, -506.05475957076465, -3179.454623332693
154, 92400, 154, -856.5113894620439, -3140.551229561384
155, 93000, 155, -3780.486274017609, -3143.1539037452576
156, 93600, 156, -377.73136114864434, -3098.47576064278
157, 94200, 157, -760.9900272481665, -3075.9351137637555
158, 94800, 158, -371.59088023984674, -3038.753778756251
159, 95400, 159, -365.8348889079638, -3001.2187497115224
160, 96000, 160, -373.97635916192297, -2962.1092060574247
161, 96600, 161, -127.24216583450627, -2914.531080843692
162, 97200, 162, -750.6272105470524, -2874.7319813966456
163, 97800, 163, -1129.615997798282, -2842.40406466165
164, 98400, 164, -884.3463268673212, -2822.416077830322
165, 99000, 165, -2938.5398377348256, -2826.3846551591887
166, 99600, 166, -0.5765112719173292, -2792.705180714919
167, 100200, 167, -1843.228571568367, -2765.607726162146
168, 100800, 168, -253.28206217254439, -2734.1310000809863
169, 101400, 169, -359.87641499273343, -2708.3467009873525
170, 102000, 170, -539.19143574582, -2669.9926955196597
171, 102600, 171, -127.4949698976553, -2627.8142683390734
172, 103200, 172, -1546.1268417323245, -2609.972385822615
173, 103800, 173, -605.9121480886723, -2568.553720740463
174, 104400, 174, -484.4876940904177, -2538.5255370526006
175, 105000, 175, -640.326754138541, -2516.2098943614246
176, 105600, 176, -375.63217349315033, -2489.9065009821466
177, 106200, 177, -727.481817314153, -2449.806735725163
178, 106800, 178, -125.27524232765491, -2422.4401852332576
179, 107400, 179, -1274.3508712871399, -2393.3115639923158
180, 108000, 180, -3833.6833970374146, -2404.398510657857
181, 108600, 181, -3793.956820924189, -2393.200380207749
182, 109200, 182, -1455.2084324117186, -2359.8984208985808
183, 109800, 183, -1698.1129330170095, -2329.1640086291786
184, 110400, 184, -1390.7004961440302, -2299.6176327526064
185, 111000, 185, -3969.963926111545, -2304.2830103168094
186, 111600, 186, -3119.961166831801, -2296.3993768516198
187, 112200, 187, -1156.9934609150112, -2275.8543982310302
188, 112800, 188, -3787.249448605424, -2273.187946942548
189, 113400, 189, -1184.9926091455156, -2251.796051422991
190, 114000, 190, -3835.9085788915386, -2257.5111053561204
191, 114600, 191, -1177.6618049331846, -2234.619031116874
192, 115200, 192, -2144.244389568647, -2221.2416163018524
193, 115800, 193, -3801.2440271509545, -2219.355630445366
194, 116400, 194, -126.78050261395381, -2189.1092938579973
195, 117000, 195, -502.62609470429487, -2160.9883260927063
196, 117600, 196, -3806.7074441778345, -2166.7623336961205
197, 118200, 197, -1584.8508256099642, -2145.735768119308
198, 118800, 198, -246.16399043469278, -2119.448822153338
199, 119400, 199, -3524.5237846863824, -2124.85026943993
200, 120000, 200, -1188.787541437487, -2092.873864182918
201, 120600, 201, -0.5462555254121354, -2064.588653518763
202, 121200, 202, -3897.9480525309696, -2075.3876989416694
203, 121800, 203, -2200.227997879248, -2066.923097641712
204, 122400, 204, -2458.543457228456, -2057.8530301301116
205, 123000, 205, -0.7136885367175962, -2015.0108399084506
206, 123600, 206, -1043.9985397478388, -1999.1300736914607
207, 124200, 207, -2827.628132373052, -1999.5091385847793
208, 124800, 208, -2432.4126435465237, -1996.4761191201674
209, 125400, 209, -3651.456721319553, -2001.8840248163528
210, 126000, 210, -361.652737905635, -1960.1433162444466
211, 126600, 211, -893.6225449578823, -1938.3381508446712
212, 127200, 212, -358.7542932748378, -1912.5203297059259
213, 127800, 213, -2150.4346597215, -1888.4216668274719
214, 128400, 214, -1700.6508531762881, -1877.7756157778056
215, 129000, 215, -2746.0074077643803, -1858.254145106832
216, 129600, 216, -2713.400752116043, -1852.7690495157651
217, 130200, 217, -1653.8528208930506, -1838.2472289390325
218, 130800, 218, -2041.8505257169002, -1828.1531740268774
219, 131400, 219, -815.5882210092834, -1809.2681747492088
220, 132000, 220, -2654.7180694556437, -1804.4912683658
221, 132600, 221, -1530.0484550055787, -1777.9692435923496
222, 133200, 222, -2280.964408552869, -1772.467669952752
223, 133800, 223, -0.4870691007586695, -1746.5222852836707
224, 134400, 224, -245.18438391182673, -1724.0674913499236
225, 135000, 225, -845.7532360288255, -1709.10913751461
226, 135600, 226, -2423.856914308642, -1706.8229772583184
227, 136200, 227, -391.8798422211599, -1686.672917523735
228, 136800, 228, -693.1256111194813, -1673.5067417155567
229, 137400, 229, -1299.1669705320496, -1662.4824084471952
230, 138000, 230, -3232.8312420161124, -1671.4391304116687
231, 138600, 231, -3346.484189034483, -1683.3164989099491
232, 139200, 232, -245.68890423811675, -1665.5430425531358
233, 139800, 233, -244.14720836222517, -1645.7387777358547
234, 140400, 234, -243.0237801178517, -1621.7060149871281
235, 141000, 235, -372.93465026813624, -1606.6446006309645
236, 141600, 236, -1823.4311152252653, -1608.2260809900006
237, 142200, 237, -480.7678840189066, -1586.975466921511
238, 142800, 238, -2952.0177576690576, -1593.6629072011012
239, 143400, 239, -253.40133696309906, -1555.411974318914
240, 144000, 240, -609.0969618335427, -1540.0180779782072
241, 144600, 241, -1762.4473223473792, -1534.391870625458
242, 145200, 242, -1044.3694583516592, -1523.2821881672187
243, 145800, 243, -1601.535622844526, -1512.9103413199512
244, 146400, 244, -1122.6908095056374, -1503.827912271207
245, 147000, 245, -1275.0050649576297, -1496.216083047873
246, 147600, 246, -243.44587645057547, -1473.728381144522
247, 148200, 247, -1323.9369557639332, -1465.3693670694975
248, 148800, 248, -0.23650203380792828, -1442.5093609633761
249, 149400, 249, -364.54253045156184, -1430.9728528943535
250, 150000, 250, -2546.291640270357, -1436.174491329713
251, 150600, 251, -3770.788677749266, -1457.5240221342256
252, 151200, 252, -0.38892530887993226, -1446.3109234325507
253, 151800, 253, -2524.599968288063, -1466.4963755197234
254, 152400, 254, -3402.203409358614, -1491.9532957186893
255, 153000, 255, -395.5633974202635, -1458.1040669527158
256, 153600, 256, -1339.9080310092238, -1467.7258336513216
257, 154200, 257, -2150.95301750918, -1481.625463553932
258, 154800, 258, -387.3804539517569, -1481.7833592910508
259, 155400, 259, -787.1531719804644, -1485.9965421217755
260, 156000, 260, -2.537275932539439, -1482.282151289482
261, 156600, 261, -2366.1504927124734, -1504.6712345582614
262, 157200, 262, -971.0687439454706, -1506.875649892246
263, 157800, 263, -2019.0611196271955, -1515.770101110535
264, 158400, 264, -3705.9803252720044, -1543.9864410945822
265, 159000, 265, -1194.033322459369, -1526.5413759418277
