episode,timestep,reward
1,1200,-5130.897
3,2400,-5105.8537
5,3600,-5494.4225
7,4800,-5544.6268
9,6000,-4759.533
11,7200,-5049.9861
13,8400,-4719.1875
15,9600,-4764.9531
17,10800,-4775.8684
19,12000,-4588.5202
21,13200,-4640.9675
23,14400,-4170.9429
25,15600,-4591.1328
27,16800,-4531.0079
29,18000,-4694.7492
31,19200,-4365.0706
33,20400,-4428.0844
35,21600,-4140.0057
37,22800,-4604.1897
39,24000,-4394.604
41,25200,-4252.3372
43,26400,-4378.9931
45,27600,-4055.5845
47,28800,-4505.8757
49,30000,-3743.0407
51,31200,-4116.2339
53,32400,-3834.7859
55,33600,-3594.7598
57,34800,-3642.9274
59,36000,-4048.2926
61,37200,-4103.2936
63,38400,-4176.9386
65,39600,-3941.5765
67,40800,-3969.7689
69,42000,-3771.9798
71,43200,-3215.4693
73,44400,-3181.0135
75,45600,-3155.5748
77,46800,-2581.0348
79,48000,-3121.8516
81,49200,-3308.6713
83,50400,-3004.7086
85,51600,-3280.3436
87,52800,-2682.1296
89,54000,-2624.6669
91,55200,-2670.9064
93,56400,-3199.4095
95,57600,-2608.5748
97,58800,-3487.0385
99,60000,-2691.6528
101,61200,-2881.1416
103,62400,-3059.4996
105,63600,-2687.1123
107,64800,-2518.3862
109,66000,-2799.6525
111,67200,-3218.5449
113,68400,-2668.8372
115,69600,-2616.2521
117,70800,-2820.3798
119,72000,-2600.8461
121,73200,-2740.1068
123,74400,-2474.2163
125,75600,-3018.671
127,76800,-3250.2139
129,78000,-2501.0843
131,79200,-3029.9464
133,80400,-2578.2405
135,81600,-2670.2907
137,82800,-2513.7378
139,84000,-2714.0316
141,85200,-2595.8641
143,86400,-2299.8202
145,87600,-2675.3289
147,88800,-2701.9287
149,90000,-2912.39
151,91200,-3049.9329
153,92400,-2913.8871
155,93600,-2571.9475
157,94800,-2531.3599
159,96000,-2855.54
161,97200,-2772.9092
163,98400,-2787.5896
165,99600,-3032.4828
167,100800,-2706.1764
169,102000,-2739.5376
171,103200,-2808.6956
173,104400,-2317.0925
175,105600,-2887.2914
177,106800,-2591.2922
179,108000,-2739.6262
181,109200,-2527.9498
183,110400,-2486.3285
185,111600,-2914.9543
187,112800,-2655.9862
189,114000,-2751.1009
191,115200,-2643.2725
193,116400,-2462.2448
195,117600,-2843.5612
197,118800,-2784.2173
199,120000,-2419.5615
201,121200,-2585.9117
203,122400,-2548.4889
205,123600,-2521.9199
207,124800,-2586.1157
209,126000,-2640.129
211,127200,-2660.8949
213,128400,-2583.6711
215,129600,-2328.0293
217,130800,-2525.1099
219,132000,-2468.2819
221,133200,-2594.757
223,134400,-2458.8383
225,135600,-2283.7708
227,136800,-2569.5228
229,138000,-2470.1857
231,139200,-2247.1313
233,140400,-2337.5783
235,141600,-2266.2311
237,142800,-2519.8169
239,144000,-2375.1366
241,145200,-2549.3788
243,146400,-2518.2501
245,147600,-2521.4131
247,148800,-2514.9055
249,150000,-2557.0025
251,151200,-2571.9293
253,152400,-2475.7844
255,153600,-2251.7943
257,154800,-2072.0704
259,156000,-2325.2019
261,157200,-2423.2671
263,158400,-2192.9883
265,159600,-2337.6286
267,160800,-2445.0111
269,162000,-2418.9248
271,163200,-2417.5091
273,164400,-2236.4274
275,165600,-2218.722
277,166800,-2132.0165
279,168000,-2597.883
281,169200,-2132.359
283,170400,-2302.3619
285,171600,-2316.4644
287,172800,-2352.3411
289,174000,-2150.8303
291,175200,-2273.4477
293,176400,-2370.1025
295,177600,-2145.3745
297,178800,-2043.9072
299,180000,-2143.0909
301,181200,-2001.0272
303,182400,-2176.4208
305,183600,-2078.7765
307,184800,-2186.1125
309,186000,-2077.975
311,187200,-2082.5629
313,188400,-2139.6172
315,189600,-2004.1686
317,190800,-2069.1486
319,192000,-1930.361
321,193200,-2111.2458
323,194400,-1949.8359
325,195600,-2004.4669
327,196800,-2349.0127
329,198000,-1997.549
331,199200,-2079.8888
333,200400,-1979.4435
335,201600,-2055.8803
337,202800,-1957.7692
339,204000,-2115.9798
341,205200,-1921.1884
343,206400,-1821.6797
345,207600,-1927.6895
347,208800,-1891.7384
349,210000,-1757.099
351,211200,-1936.6591
353,212400,-2003.3199
355,213600,-1792.4124
357,214800,-2007.2332
359,216000,-2056.8569
361,217200,-1939.1648
363,218400,-2181.523
365,219600,-2482.7775
367,220800,-2194.2581
369,222000,-1817.358
371,223200,-2357.1218
373,224400,-1988.2644
375,225600,-2055.8128
377,226800,-2081.7508
379,228000,-1801.4316
381,229200,-1734.7474
383,230400,-1800.3563
385,231600,-2115.7921
387,232800,-1867.2014
389,234000,-2123.4858
391,235200,-1855.3709
393,236400,-2044.2763
395,237600,-1685.4148
397,238800,-1679.6621
399,240000,-2047.0504
401,241200,-1754.7798
403,242400,-4056.2954
405,243600,-1684.9957
407,244800,-1593.2784
409,246000,-1927.3957
411,247200,-1773.841
413,248400,-2685.6971
415,249600,-1795.629
417,250800,-1801.0782
419,252000,-1496.6872
421,253200,-1739.6886
423,254400,-1520.4667
425,255600,-1509.8255
427,256800,-1913.8322
429,258000,-1623.7969
431,259200,-1894.9502
433,260400,-1484.6048
435,261600,-1508.2775
437,262800,-1611.5379
439,264000,-1431.7122
441,265200,-1432.9692
443,266400,-1312.121
445,267600,-1242.4555
447,268800,-1252.6594
449,270000,-1195.1413
451,271200,-1194.1243
453,272400,-1308.8411
455,273600,-2430.0339
457,274800,-871.3584
459,276000,-988.6678
461,277200,-2986.909
463,278400,-1228.6131
465,279600,-1049.2411
467,280800,-3037.3737
469,282000,-1394.0357
471,283200,-802.5203
473,284400,-745.7931
475,285600,-434.8071
477,286800,-676.5827
479,288000,-368.4409
481,289200,-1593.9785
483,290400,-743.44
485,291600,-3196.3562
487,292800,-623.9646
489,294000,-251.5573
491,295200,-2704.8965
493,296400,-1710.8872
495,297600,-616.3534
497,298800,-438.3322
499,300000,-821.151
501,301200,-1833.4986
503,302400,-249.6759
505,303600,-318.7815
507,304800,-601.1199
509,306000,-183.287
511,307200,-2598.528
513,308400,-2654.0732
515,309600,-813.8548
517,310800,-1932.2618
519,312000,-620.1041
521,313200,-242.035
523,314400,-2797.5416
525,315600,-185.8878
527,316800,-418.6344
529,318000,-2604.8818
531,319200,-494.219
533,320400,-307.2167
535,321600,-2570.5265
537,322800,-2467.4064
539,324000,-891.8518
541,325200,-127.9654
543,326400,-538.9052
545,327600,-666.9376
547,328800,-2808.3724
549,330000,-721.2924
551,331200,-543.0566
553,332400,-122.9402
555,333600,-910.8746
557,334800,-126.2059
559,336000,-2315.6709
561,337200,-3292.4525
563,338400,-839.4415
565,339600,-598.4792
567,340800,-2751.2102
569,342000,-1082.314
571,343200,-184.3641
573,344400,-420.3172
575,345600,-490.8531
577,346800,-1204.6943
579,348000,-543.7575
581,349200,-2380.5141
583,350400,-64.1796
585,351600,-2512.3074
587,352800,-2635.0731
589,354000,-2392.9173
591,355200,-2688.7935
593,356400,-126.4795
595,357600,-725.8316
