episode, timestep, update_iters, epi_return, avg_turn
1, 12, 0, 12.0, 0
2, 34, 0, 22.0, 12.0
3, 52, 0, 18.0, 17.0
4, 70, 0, 18.0, 17.333333333333332
5, 99, 0, 29.0, 17.5
6, 113, 0, 14.0, 19.8
7, 146, 0, 33.0, 18.833333333333332
8, 163, 0, 17.0, 20.857142857142858
9, 180, 0, 17.0, 20.375
10, 219, 0, 39.0, 20.0
11, 233, 0, 14.0, 21.9
12, 249, 0, 16.0, 21.181818181818183
13, 280, 0, 31.0, 20.75
14, 323, 0, 43.0, 21.53846153846154
15, 335, 0, 12.0, 23.071428571428573
16, 367, 0, 32.0, 22.333333333333332
17, 389, 0, 22.0, 22.9375
18, 407, 0, 18.0, 22.88235294117647
19, 426, 0, 19.0, 22.61111111111111
20, 457, 0, 31.0, 22.42105263157895
21, 513, 0, 56.0, 22.85
22, 522, 0, 9.0, 24.428571428571427
23, 547, 0, 25.0, 23.727272727272727
24, 591, 0, 44.0, 23.782608695652176
25, 623, 0, 32.0, 24.625
26, 632, 0, 9.0, 24.92
27, 642, 0, 10.0, 24.307692307692307
28, 658, 0, 16.0, 23.77777777777778
29, 677, 0, 19.0, 23.5
30, 693, 0, 16.0, 23.344827586206897
31, 717, 0, 24.0, 23.1
32, 731, 0, 14.0, 23.129032258064516
33, 760, 0, 29.0, 22.84375
34, 777, 0, 17.0, 23.03030303030303
35, 793, 0, 16.0, 22.852941176470587
36, 814, 0, 21.0, 22.65714285714286
37, 827, 0, 13.0, 22.61111111111111
38, 839, 0, 12.0, 22.35135135135135
39, 880, 0, 41.0, 22.07894736842105
40, 898, 0, 18.0, 22.564102564102566
41, 922, 0, 24.0, 22.45
42, 939, 0, 17.0, 22.48780487804878
43, 974, 0, 35.0, 22.357142857142858
44, 989, 0, 15.0, 22.651162790697676
45, 999, 0, 10.0, 22.477272727272727
46, 1026, 1, 27.0, 22.2
47, 1035, 1, 9.0, 22.304347826086957
48, 1051, 1, 16.0, 22.02127659574468
49, 1078, 1, 27.0, 21.895833333333332
50, 1093, 1, 15.0, 22.0
51, 1119, 1, 26.0, 21.86
52, 1155, 1, 36.0, 21.941176470588236
53, 1174, 1, 19.0, 22.21153846153846
54, 1206, 1, 32.0, 22.150943396226417
55, 1258, 1, 52.0, 22.333333333333332
56, 1310, 1, 52.0, 22.87272727272727
57, 1337, 1, 27.0, 23.392857142857142
58, 1428, 1, 91.0, 23.45614035087719
59, 1441, 1, 13.0, 24.620689655172413
60, 1454, 1, 13.0, 24.423728813559322
61, 1491, 1, 37.0, 24.233333333333334
62, 1509, 1, 18.0, 24.442622950819672
63, 1543, 1, 34.0, 24.338709677419356
64, 1559, 1, 16.0, 24.49206349206349
65, 1570, 1, 11.0, 24.359375
66, 1611, 1, 41.0, 24.153846153846153
67, 1627, 1, 16.0, 24.40909090909091
68, 1643, 1, 16.0, 24.28358208955224
