episode, timestep, update_iters, epi_return, avg_turn
1, 600, 0, -3296.442031515826, 0
2, 1200, 0, -3257.268432291427, -3296.442031515826
3, 1800, 0, -3584.871223577179, -3276.855231903626
4, 2400, 1, -3117.4573733586635, -3379.5272291281435
5, 3000, 1, -3090.097517955433, -3314.0097651857736
6, 3600, 1, -3508.12646865754, -3269.227315739706
7, 4200, 1, -3271.2440276742313, -3309.0438412260114
8, 4800, 2, -3446.7494047686105, -3303.6438678614713
9, 5400, 2, -2811.475848262884, -3321.532059974864
10, 6000, 2, -2519.0979357672804, -3264.8591475624216
11, 6600, 2, -3091.718289177037, -3190.2830263829073
12, 7200, 3, -4406.327705402348, -3181.3225957278282
13, 7800, 3, -3779.709170879173, -3283.4063548673716
14, 8400, 3, -2884.871748183694, -3321.583494560587
15, 9000, 3, -2846.303607425453, -3290.389798390809
16, 9600, 4, -3170.5901507710723, -3260.784052326452
17, 10200, 4, -4717.415105235247, -3255.146933479241
18, 10800, 4, -3152.368399443098, -3341.162708288418
19, 11400, 4, -3049.066886255318, -3330.674135574789
20, 12000, 5, -3985.9545641223467, -3315.85270140008
21, 12600, 5, -3180.5038076137757, -3349.357794536193
22, 13200, 5, -3721.5635365867843, -3341.3171284922682
23, 13800, 5, -3111.1818300393297, -3358.601056132928
24, 14400, 6, -4053.5238142395137, -3347.843698476685
25, 15000, 6, -3013.4008376611932, -3377.2470366334687
26, 15600, 6, -3335.7451645383912, -3362.6931886745774
27, 16200, 6, -3012.7832829223403, -3361.6567262078006
28, 16800, 7, -3435.206154266188, -3348.7354875675983
29, 17400, 7, -3154.8702389886475, -3351.8237256639763
30, 18000, 7, -2994.5310749809196, -3345.032226123448
31, 18600, 7, -3102.3359285729816, -3333.3488544186966
32, 19200, 8, -3188.2465939253443, -3325.8968245527058
33, 19800, 8, -2930.2304224120116, -3321.5952548456025
34, 20400, 8, -3148.854440614925, -3309.735714468827
35, 21000, 8, -2638.9480539746905, -3305.0039122966537
36, 21600, 9, -3893.6763775486393, -3285.973744916026
37, 22200, 9, -2867.9420560795916, -3302.8543736002653
38, 22800, 9, -3014.801013152399, -3291.099986640247
39, 23400, 9, -3383.926378254695, -3283.828961022146
40, 24000, 10, -2881.4184187073847, -3286.3955614640063
41, 24600, 10, -3055.9101595931825, -3276.2711328950904
42, 25200, 10, -3383.6800185521597, -3270.8964750096775
43, 25800, 10, -3151.6526581776398, -3273.5817974749752
44, 26400, 11, -3345.8310686950267, -3270.746236095967
45, 27000, 11, -2867.1460134310346, -3272.4527095641274
46, 27600, 11, -3381.792925415411, -3263.4458940945037
47, 28200, 11, -3510.4203808598936, -3266.018655644958
48, 28800, 12, -3177.8557826078645, -3271.218692351659
49, 29400, 12, -3196.7688111508496, -3269.2736317319964
50, 30000, 12, -3221.5645874196607, -3267.793941516055
51, 30600, 12, -3350.484183671652, -3266.8693544341268
52, 31200, 13, -3433.8700354973157, -3268.5088608897645
53, 31800, 13, -2765.524393056639, -3271.6888834783717
54, 32400, 13, -2932.251365609984, -3262.138610074188
55, 33000, 13, -2773.3005966458504, -3256.0295870285545
56, 33600, 14, -2675.4801254545473, -3247.252696294324
57, 34200, 14, -3312.7857966573165, -3237.0424718150416
58, 34800, 14, -2761.507039207069, -3238.371302075432
59, 35400, 14, -3260.6754791040657, -3230.1495044397707
60, 36000, 15, -2925.3110468045047, -3230.6668938408607
61, 36600, 15, -3060.912000106464, -3225.577629723588
62, 37200, 15, -2926.585829587139, -3222.878193172488
63, 37800, 15, -2862.588767941458, -3218.0992840824015
64, 38400, 16, -3429.3850608010816, -3212.4562600166723
65, 39000, 16, -3289.1825978784545, -3215.8457725289286
66, 39600, 16, -2901.1364657017143, -3216.9740313804596
67, 40200, 16, -3156.8870281210543, -3212.1886137186602
68, 40800, 17, -3110.0892268074595, -3211.363216918696
69, 41400, 17, -4355.79343766931, -3209.8738935347073
70, 42000, 17, -3827.6423080093928, -3226.4814231598466
71, 42600, 17, -2947.6644746875413, -3235.0694358005544
72, 43200, 18, -3247.670840324501, -3231.021478601779
73, 43800, 18, -3222.727050241906, -3231.252719736817
74, 44400, 18, -4086.6605158953716, -3231.135929743736
75, 45000, 18, -3042.9867147043014, -3242.6970727998396
76, 45600, 19, -3594.86268615209, -3240.0342680252324
77, 46200, 19, -2599.3845589824177, -3244.703063000586
78, 46800, 19, -2775.0140696548237, -3236.3223032081423
79, 47400, 19, -3228.7440314024793, -3230.4080950856637
80, 48000, 20, -3012.078058990062, -3230.3870309884087
81, 48600, 20, -2673.1451430518687, -3227.6581688384285
82, 49200, 20, -3595.274516360538, -3220.812329013903
83, 49800, 20, -3723.2396987043285, -3225.3789410547156
84, 50400, 21, -2900.257817441665, -3231.3772634360366
85, 51000, 21, -3444.5368680182064, -3227.4353652694367
86, 51600, 21, -2802.5122233341385, -3229.989500595893
87, 52200, 21, -3534.774240841359, -3225.0188345812207
88, 52800, 22, -2785.405730013554, -3228.579241549728
89, 53400, 22, -3132.537171215984, -3223.5431789186364
90, 54000, 22, -2743.181203569105, -3222.5206395062473
91, 54600, 22, -3079.2336540340852, -3217.194645773612
92, 55200, 23, -3109.293617363214, -3215.678590919332
93, 55800, 23, -2693.6741064663483, -3214.522232511113
94, 56400, 23, -2940.4778542793224, -3208.921715026761
95, 57000, 23, -2897.847259376907, -3206.0659292741284
96, 57600, 24, -3263.573147764026, -3202.821522222579
97, 58200, 24, -2702.2976131227047, -3203.454351655302
98, 58800, 24, -3192.4191272237704, -3198.287787340533
99, 59400, 24, -3309.828908655335, -3198.227903053628
100, 60000, 25, -3068.1726583461846, -3199.3551859384934
101, 60600, 25, -3103.186739272041, -3198.04336066257
102, 61200, 25, -2315.9248604952613, -3196.110807740132
103, 61800, 25, -2787.928132923047, -3186.69737202217
104, 62400, 26, -2675.593934042571, -3178.7279411156283
105, 63000, 26, -2979.068404092731, -3174.309306722467
106, 63600, 26, -2567.10048698349, -3173.1990155838403
107, 64200, 26, -2790.921213576516, -3163.7887557670997
108, 64800, 27, -2825.3579564548754, -3158.985527626123
109, 65400, 27, -2376.999591650458, -3152.7716131429856
110, 66000, 27, -2594.137318374273, -3148.4268505768605
111, 66600, 27, -2579.2320152625707, -3149.1772444029316
112, 67200, 28, -2810.5148228821718, -3144.0523816637865
113, 67800, 28, -2448.0021867271275, -3128.0942528385854
114, 68400, 28, -2514.475027879414, -3114.777182997065
115, 69000, 28, -2803.863375412662, -3111.073215794022
