[2025-09-21 17:05] Env=LunarLander-v2
Ep, Timestep, Update, Avg_return
8: 800, 0, -247.872, 
17: 1600, 1, -116.548, 
25: 2400, 1, -172.500, 
33: 3200, 2, -218.370, 
40: 4000, 2, -176.811, 
46: 4800, 3, -187.592, 
53: 5600, 3, -199.113, 
61: 6400, 4, -239.057, 
67: 7200, 4, -189.707, 
74: 8000, 5, -196.958, 
81: 8800, 5, -149.803, 
88: 9600, 6, -207.316, 
93: 10400, 6, -232.755, 
98: 11200, 7, -284.255, 
104: 12000, 7, -190.284, 
109: 12800, 8, -174.396, 
114: 13600, 8, -235.668, 
119: 14400, 9, -241.063, 
124: 15200, 9, -228.061, 
129: 16000, 10, -230.988, 
134: 16800, 10, -199.422, 
140: 17600, 11, -177.704, 
144: 18400, 11, -215.103, 
149: 19200, 12, -200.419, 
153: 20000, 12, -224.712, 
159: 20800, 13, -236.371, 
163: 21600, 13, -170.725, 
166: 22400, 14, -176.222, 
170: 23200, 14, -186.376, 
175: 24000, 15, -165.321, 
178: 24800, 15, -195.305, 
183: 25600, 16, -185.152, 
186: 26400, 16, -201.800, 
189: 27200, 17, -128.679, 
193: 28000, 17, -82.480, 
197: 28800, 18, -87.679, 
200: 29600, 18, -62.620, 
203: 30400, 19, -42.836, 
205: 31200, 19, -3.680, 
207: 32000, 20, 28.617, 
209: 32800, 20, 50.949, 
212: 33600, 21, 25.998, 
214: 34400, 21, 31.958, 
216: 35200, 22, 14.371, 
218: 36000, 22, 15.919, 
220: 36800, 23, 23.677, 
222: 37600, 23, 47.309, 
224: 38400, 24, 51.716, 
226: 39200, 24, 57.256, 
228: 40000, 25, 63.743, 
230: 40800, 25, 68.491, 
232: 41600, 26, 71.513, 
234: 42400, 26, 73.874, 
237: 43200, 27, 60.845, 
239: 44000, 27, 69.978, 
241: 44800, 28, 66.024, 
243: 45600, 28, 59.204, 
245: 46400, 29, 78.460, 
247: 47200, 29, 87.362, 
250: 48000, 30, 71.225, 
252: 48800, 30, 85.225, 
254: 49600, 31, 76.597, 
256: 50400, 31, 87.528, 
258: 51200, 32, 81.148, 
260: 52000, 32, 70.059, 
263: 52800, 33, 54.348, 
265: 53600, 33, 63.555, 
267: 54400, 34, 52.696, 
269: 55200, 34, 61.672, 
271: 56000, 35, 72.811, 
273: 56800, 35, 72.435, 
